time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.49003	2	6	3	110	0.000278568
3.49041	2	7	3	110	0.000278568
3.49047	2	6	3	110	0.000278568
3.49085	2	7	3	110	0.000278568
3.49091	2	6	3	208	0.000278568
3.49128	2	7	3	110	0.000278568
3.49147	2	6	3	110	0.000278568
3.49172	2	7	3	167	0.000278568
3.49191	2	6	3	110	0.000278568
3.49235	2	6	3	118	0.000278568
3.49722	2	3	3	56	0.000278568
3.50128	2	5	3	110	0.000278568
3.50172	2	5	3	110	0.000278568
3.50216	2	5	3	63	0.000278568
3.50253	2	5	3	110	0.000278568
3.50297	2	5	3	110	0.000278568
3.50341	2	5	3	63	0.000278568
3.50378	2	5	3	110	0.000278568
3.50422	2	5	3	110	0.000278568
3.50466	2	5	3	63	0.000278568
3.50503	2	5	3	110	0.000278568
3.50547	2	5	3	110	0.000278568
3.50591	2	5	3	63	0.000278568
3.50628	2	5	3	110	0.000278568
3.50672	2	5	3	110	0.000278568
3.50716	2	5	3	63	0.000278568
3.50753	2	5	3	110	0.000278568
3.50797	2	5	3	110	0.000278568
3.50841	2	5	3	63	0.000278568
3.50885	2	5	3	110	0.000278568
3.50928	2	5	3	110	0.000278568
3.50972	2	5	3	63	0.000278568
3.5101	2	5	3	110	0.000278568
3.51053	2	5	3	110	0.000278568
3.51097	2	5	3	63	0.000278568
3.51135	2	5	3	110	0.000278568
3.51178	2	5	3	110	0.000274104
3.51222	2	5	3	63	0.000278568
3.5126	2	5	3	110	0.000278568
3.51303	2	5	3	110	0.000274104
3.51347	2	5	3	63	0.000278568
3.51385	2	5	3	110	0.000278568
3.51428	2	5	3	110	0.000278568
3.51472	2	5	3	63	0.000278568
3.51516	2	5	3	110	0.000278568
3.51559	2	5	3	110	0.000274104
3.51603	2	5	3	110	0.000278568
3.51647	2	5	3	110	0.000278568
3.51691	2	5	3	69	0.000278568
3.51728	2	5	3	110	0.000278568
3.51772	2	5	3	110	0.000278568
3.51816	2	5	3	63	0.000278568
3.51853	2	5	3	110	0.000278568
3.51891	2	3	3	56	0.000278568
3.51897	2	5	3	110	0.000278568
