% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
3.43744	1	0	4	5	343	7	11	11	1	0	15	1	0	28	118
3.43788	1	0	4	5	343	8	2	12	1	0	15	1	0	28	118
3.43825	1	0	4	5	343	8	8	12	1	0	15	1	0	28	118
3.43869	1	0	4	5	343	8	15	12	1	0	15	1	0	28	118
3.43875	1	0	6	3	343	9	0	12	1	0	15	1	0	28	118
3.43913	1	0	4	5	343	9	6	12	1	0	15	1	0	28	118
3.4395	1	0	4	5	343	9	12	12	1	0	15	1	0	28	118
3.43994	1	0	4	5	344	0	3	12	1	0	15	1	0	28	118
3.44037	1	0	4	5	344	0	10	12	1	0	15	1	0	28	118
3.44075	1	0	4	5	344	1	0	12	1	0	15	1	0	28	118
3.44119	1	0	4	5	344	1	7	12	1	0	15	1	0	28	118
3.44163	1	0	4	5	344	1	14	12	1	0	15	1	0	28	118
3.442	1	0	4	5	344	2	4	12	1	0	15	1	0	28	118
3.44244	1	0	4	5	344	2	11	11	1	0	15	1	0	28	118
3.44287	1	0	4	5	344	3	2	12	1	0	15	1	0	28	118
3.44325	1	0	4	5	344	3	8	12	1	0	15	1	0	28	118
3.44369	1	0	4	5	344	3	15	12	1	0	15	1	0	28	118
3.44413	1	0	4	5	344	4	6	12	1	0	15	1	0	28	118
3.4445	1	0	4	5	344	4	12	12	1	0	15	1	0	28	118
3.44494	1	0	4	5	344	5	3	12	1	0	15	1	0	28	118
3.44537	1	0	4	5	344	5	10	12	1	0	15	1	0	28	118
3.44575	1	0	4	5	344	6	0	12	1	0	15	1	0	28	118
3.44619	1	0	4	5	344	6	7	12	1	0	15	1	0	28	118
3.44663	1	0	4	5	344	6	14	12	1	0	15	1	0	28	118
3.447	1	0	4	5	344	7	4	12	1	0	15	1	0	28	118
3.44744	1	0	4	5	344	7	11	11	1	0	15	1	0	28	118
3.44787	1	0	4	5	344	8	2	12	1	0	15	1	0	28	118
3.44825	1	0	4	5	344	8	8	12	1	0	15	1	0	28	118
3.44869	1	0	4	5	344	8	15	12	1	0	15	1	0	28	118
3.44912	1	0	4	5	344	9	6	12	1	0	15	1	0	28	118
3.4495	1	0	4	5	344	9	12	12	1	0	15	1	0	28	118
3.44994	1	0	4	5	345	0	3	12	1	0	15	1	0	28	118
3.46281	1	0	2	7	346	3	1	12	1	0	15	1	0	28	118
3.46294	1	0	3	6	346	3	3	12	1	0	15	1	0	28	118
3.46325	1	0	2	7	346	3	8	12	1	0	15	1	0	28	118
3.46338	1	0	3	6	346	3	10	12	1	0	15	1	0	28	118
3.46369	1	0	2	7	346	3	15	12	1	0	15	1	0	28	118
3.46381	1	0	3	6	346	4	1	12	1	0	15	1	0	28	118
3.46413	1	0	2	7	346	4	6	12	1	0	15	1	0	28	118
3.46425	1	0	3	6	346	4	8	12	1	0	15	1	0	28	118
3.46456	1	0	2	7	346	4	13	12	1	0	15	1	0	28	118
3.46469	1	0	3	6	346	4	15	12	1	0	15	1	0	28	118
3.465	1	0	2	7	346	5	4	11	2	0	15	1	0	28	239
3.46513	1	0	3	6	346	5	6	12	1	0	15	1	0	28	118
3.46544	1	0	2	7	346	5	11	12	1	0	15	1	0	28	118
3.46556	1	0	3	6	346	5	13	12	1	0	15	1	0	28	118
3.46588	1	0	2	7	346	6	2	12	1	0	15	1	0	28	118
3.466	1	0	3	6	346	6	4	12	1	0	15	1	0	28	118
3.46631	1	0	2	7	346	6	9	12	1	0	15	1	0	28	118
3.46644	1	0	3	6	346	6	11	11	2	0	15	1	0	28	239
3.46675	1	0	2	7	346	7	0	12	1	0	15	1	0	28	118
3.46687	1	0	3	6	346	7	2	12	1	0	15	1	0	28	118
3.46719	1	0	2	7	346	7	7	12	1	0	15	1	0	28	118
3.46731	1	0	3	6	346	7	9	12	1	0	15	1	0	28	118
3.46762	1	0	2	7	346	7	14	11	1	0	15	1	0	28	118
3.46769	1	0	3	6	346	7	15	12	1	0	15	1	0	28	118
3.46806	1	0	2	7	346	8	5	12	1	0	15	1	0	28	118
3.46813	1	0	3	6	346	8	6	12	1	0	15	1	0	28	118
3.4685	1	0	2	7	346	8	12	11	2	0	15	1	0	28	239
3.46856	1	0	3	6	346	8	13	12	1	0	15	1	0	28	118
3.46894	1	0	2	7	346	9	3	12	1	0	15	1	0	28	118
3.469	1	0	3	6	346	9	4	11	1	0	15	1	0	28	118
3.46937	1	0	2	7	346	9	10	12	1	0	15	1	0	28	118
3.46944	1	0	3	6	346	9	11	12	1	0	15	1	0	28	118
3.46981	1	0	2	7	347	0	1	12	1	0	15	1	0	28	118
3.46988	1	0	3	6	347	0	2	12	1	0	15	1	0	28	118
3.47025	1	0	2	7	347	0	8	12	1	0	15	1	0	28	118
3.47031	1	0	3	6	347	0	9	12	1	0	15	1	0	28	118
3.47069	1	0	2	7	347	0	15	12	1	0	15	1	0	28	118
3.47075	1	0	3	6	347	1	0	12	1	0	15	1	0	28	118
3.47112	1	0	2	7	347	1	6	12	1	0	15	1	0	28	118
3.47119	1	0	3	6	347	1	7	12	1	0	15	1	0	28	118
3.47156	1	0	2	7	347	1	13	11	2	0	15	1	0	28	239
3.47162	1	0	3	6	347	1	14	12	1	0	15	1	0	28	118
3.472	1	0	2	7	347	2	4	12	1	0	15	1	0	28	118
3.47206	1	0	3	6	347	2	5	12	1	0	15	1	0	28	118
3.4725	1	0	3	6	347	2	12	10	2	0	15	1	0	28	239
3.4725	1	0	2	7	347	2	12	12	1	0	15	1	0	28	118
3.47294	1	0	3	6	347	3	3	11	1	0	15	1	0	28	118
3.47294	1	0	2	7	347	3	3	12	1	0	15	1	0	28	118
3.47337	1	0	3	6	347	3	10	11	1	0	15	1	0	28	118
3.47337	1	0	2	7	347	3	10	12	1	0	15	1	0	28	118
3.47381	1	0	3	6	347	4	1	11	1	0	15	1	0	28	118
3.47381	1	0	2	7	347	4	1	12	1	0	15	1	0	28	118
3.47425	1	0	3	6	347	4	8	11	1	0	15	1	0	28	118
3.47425	1	0	2	7	347	4	8	12	1	0	15	1	0	28	118
3.47469	1	0	3	6	347	4	15	11	1	0	15	1	0	28	118
3.47469	1	0	2	7	347	4	15	12	1	0	15	1	0	28	118
3.47512	1	0	3	6	347	5	6	10	2	0	15	1	0	28	239
3.47512	1	0	2	7	347	5	6	12	1	0	15	1	0	28	118
